Geo,Year,SFDU,MFDU,GQDU
1885,2045,11,283,1
1886,2045,12,293,1
1887,2045,21,327,1
1888,2045,7,147,1
1889,2045,18,443,1
1890,2045,9,231,1
1891,2045,47,571,1
1892,2045,46,500,1
1893,2045,6,158,1
1894,2045,10,257,1
1895,2045,26,655,1
1896,2045,9,262,1
1897,2045,11,325,1
1898,2045,6,168,1
1899,2045,10,262,1
1900,2045,18,324,1
1901.01,2045,1243,452,1
1901.02,2045,215,78,1
1901.03,2045,160,58,1
1902,2045,555,352,1
1903,2045,447,1062,1
1904,2045,60,22,1
1905,2045,1890,1379,1
1906.01,2045,85,71,1
1906.02,2045,300,244,1
1907,2045,236,40,1
1908,2045,2080,783,1
1909,2045,58,9,1
1910,2045,67,24,1
1911,2045,612,226,1
1912,2045,378,138,1
1913,2045,412,459,1
1914,2045,330,366,1
1915,2045,56,877,1
1916,2045,49,597,1
1917,2045,26,386,1
1918,2045,191,1243,1
1919,2045,263,1564,1
1920,2045,221,839,1
1921,2045,70,319,1
1922,2045,126,737,1
1923,2045,44,164,1
1924,2045,174,568,1
1925,2045,169,671,1
1926,2045,50,201,1
1927,2045,151,574,1
1928,2045,275,358,1
1929,2045,29,176,1
1930,2045,46,462,1
1931,2045,663,1390,1
1932,2045,170,423,1
1933,2045,318,412,1
1934,2045,183,236,1
1935,2045,898,1075,1
1936,2045,459,600,1
1937,2045,516,459,1
1938,2045,563,731,1
1939,2045,639,577,1
1940,2045,526,460,1
1941,2045,96,128,1
1942,2045,3,20,1
1943.01,2045,18,243,1
1943.02,2045,1,11,1
1943.03,2045,21,201,1
1944.01,2045,71,15,1
1944.02,2045,173,34,1
1944.03,2045,471,87,1
1944.04,2045,285,51,1
1944.05,2045,427,88,1
1944.06,2045,807,150,1
1945.01,2045,64,71,1
1945.02,2045,401,448,1
1945.03,2045,255,273,1
1946,2045,118,132,1
1947,2045,77,855,1
1948,2045,83,589,1
1949,2045,72,595,1
1950,2045,181,1053,1
1951,2045,86,735,1
1952,2045,331,672,1
1953,2045,96,861,1
1954,2045,207,1549,1
1955,2045,81,473,1
1956,2045,50,272,1
1957,2045,1008,289,1
1958,2045,461,132,1
1959,2045,121,910,1
1960,2045,101,589,1
1961,2045,419,828,1
1962,2045,612,1311,1
1963,2045,520,533,1
1964,2045,150,143,1
1965,2045,72,324,1
1966.01,2045,89,88,1
1966.02,2045,163,159,1
1967,2045,358,352,1
1968.01,2045,949,236,1
1968.02,2045,252,62,1
1969.01,2045,591,227,1
1969.02,2045,250,95,1
1970,2045,247,233,1
1971,2045,381,150,1
1972.01,2045,76,71,1
1972.02,2045,256,239,1
1972.03,2045,47,44,1
1972.04,2045,221,213,1
1973.01,2045,706,273,1
1973.02,2045,163,61,1
1973.03,2045,479,183,1
1973.04,2045,573,222,1
1974,2045,605,572,1
1975,2045,314,1156,1
1976,2045,586,1280,1
1977,2045,120,542,1
1978,2045,240,1479,1
1979,2045,154,1827,1
1980,2045,120,1166,1
1981,2045,212,978,1
1982,2045,1680,1374,1
1983,2045,22,179,1
1984,2045,108,874,1
1985,2045,137,1086,1
1986,2045,768,2723,1
1987,2045,117,873,1
1988,2045,47,505,1
1989.01,2045,522,1774,1
1989.02,2045,41,139,1
1989.03,2045,17,57,1
1990,2045,1142,1037,1
1991,2045,99,96,1
1992,2045,97,95,1
1993,2045,7,18,1
1994,2045,145,294,1
1995,2045,12,35,1
1996,2045,318,857,1
1997,2045,30,227,1
1998,2045,423,1259,1
1999,2045,233,378,1
2000,2045,417,683,1
2001,2045,302,477,1
2002,2045,639,207,1
2003,2045,705,491,1
2004,2045,28,143,1
2005,2045,22,158,1
2006.01,2045,605,526,1
2006.02,2045,40,35,1
2007,2045,1312,1347,1
2008,2045,66,947,1
2009,2045,113,333,1
2010,2045,113,115,1
2011,2045,108,698,1
2012.01,2045,38,204,1
2012.02,2045,13,47,1
2013.01,2045,70,413,1
2013.02,2045,12,60,1
2014,2045,334,581,1
2015,2045,213,370,1
2016,2045,29,51,1
2017,2045,128,219,1
2018.01,2045,75,62,1
2018.02,2045,60,50,1
2018.03,2045,129,107,1
2019,2045,174,297,1
2020,2045,623,540,1
2021,2045,631,528,1
2022,2045,127,106,1
2023,2045,688,585,1
2024,2045,166,167,1
2025.01,2045,125,126,1
2025.02,2045,57,58,1
2025.03,2045,45,46,1
2026,2045,181,181,1
2027,2045,157,157,1
2028,2045,674,683,1
2029,2045,128,128,1
2030,2045,154,156,1
2031,2045,98,283,1
2032,2045,101,269,1
2033,2045,578,1693,1
2034,2045,893,2062,1
2035,2045,268,1234,1
2036.01,2045,668,67,1
2036.02,2045,112,42,1
2036.03,2045,56,2,1
2037,2045,79,695,1
2038,2045,993,1584,1
2039,2045,188,388,1
2040,2045,120,349,1
2041,2045,90,637,1
2042,2045,134,1352,1
2043,2045,50,357,1
2044.01,2045,2323,629,1
2044.02,2045,217,60,1
2045,2045,2974,797,1
2046,2045,60,119,1
2047.01,2045,489,1198,1
2047.02,2045,63,54,1
2048,2045,19,763,1
2049,2045,202,1271,1
2050,2045,54,343,1
2051,2045,85,557,1
2052,2045,679,770,1
2053,2045,97,596,1
2054,2045,506,599,1
2055,2045,67,406,1
2056,2045,43,270,1
2057,2045,100,646,1
2058,2045,84,377,1
2059,2045,2117,1122,1
2060,2045,904,772,1
2061.01,2045,123,58,1
2061.02,2045,360,156,1
2062.01,2045,59,308,1
2062.02,2045,401,1103,1
2062.03,2045,164,1071,1
2063.01,2045,41,52,1
2063.02,2045,957,414,1
2064,2045,449,169,1
2065,2045,1199,450,1
2066.01,2045,113,170,1
2066.02,2045,266,398,1
2067,2045,332,904,1
2068,2045,214,2328,1
2069.01,2045,116,378,1
2069.02,2045,379,796,1
2070,2045,435,913,1
2071,2045,22,699,1
2072,2045,221,1294,1
2073.01,2045,569,193,1
2073.02,2045,1727,589,1
2073.03,2045,1775,2501,1
2074.01,2045,215,80,1
2074.02,2045,29,56,1
2075.01,2045,951,608,1
2075.02,2045,827,527,1
2076.01,2045,346,221,1
2076.02,2045,478,307,1
2076.03,2045,439,279,1
2077,2045,38,594,1
2078,2045,13,222,1
2079.01,2045,77,119,1
2079.02,2045,753,1291,1
2080.01,2045,13,21,1
2080.02,2045,85,127,1
2080.03,2045,66,112,1
2080.04,2045,92,156,1
2081,2045,560,642,1
2082,2045,1389,2370,1
2083,2045,293,264,1
2084,2045,179,153,1
2085.01,2045,344,311,1
2085.02,2045,1515,1365,1
2086.01,2045,77,251,1
2086.02,2045,28,226,1
2086.03,2045,45,139,1
2087,2045,50,384,1
2088,2045,110,1175,1
2089.01,2045,483,7,1
2089.02,2045,463,9,1
2089.03,2045,38,1,1
2089.04,2045,184,93,1
2090,2045,552,78,1
2091,2045,65,383,1
2092,2045,16,137,1
2093,2045,34,281,1
2094,2045,2,65,1
2095,2045,8,345,1
2096.01,2045,127,748,1
2096.02,2045,89,485,1
2097,2045,120,222,1
2098,2045,328,507,1
2099.01,2045,75,144,1
2099.02,2045,327,618,1
2100,2045,404,780,1
2101,2045,99,175,1
2102,2045,260,462,1
2103,2045,34,46,1
2104,2045,107,190,1
2105,2045,124,221,1
2106,2045,1175,1301,1
2107,2045,13,52,1
2108,2045,167,326,1
2109,2045,97,171,1
2110,2045,93,183,1
2111.01,2045,41,80,1
2111.02,2045,520,56,1
2112.01,2045,123,7,1
2112.02,2045,331,9,1
2112.03,2045,86,4,1
2112.04,2045,120,3,1
2112.05,2045,6,0,1
2112.06,2045,122,4,1
2113,2045,49,271,1
2114.01,2045,119,246,1
2114.02,2045,47,302,1
2114.03,2045,9,50,1
2115.01,2045,66,274,1
2115.02,2045,82,411,1
2116.01,2045,100,194,1
2116.02,2045,18,36,1
2117.01,2045,74,146,1
2117.02,2045,23,67,1
2118,2045,86,228,1
2119,2045,66,175,1
2120,2045,52,132,1
2121,2045,26,66,1
2122,2045,165,187,1
2123,2045,36,43,1
2124,2045,3,23,1
2125,2045,272,1697,1
2126,2045,120,1364,1
2127,2045,106,1120,1
2128,2045,392,2204,1
2129,2045,114,713,1
2130,2045,139,934,1
2131,2045,87,1372,1
2132,2045,187,2040,1
2133,2045,157,1474,1
2134,2045,109,979,1
2135,2045,143,1860,1
2136,2045,183,1275,1
2137,2045,238,1255,1
2138,2045,525,1667,1
2139,2045,236,1003,1
2140,2045,356,1199,1
2141,2045,125,676,1
2142,2045,697,1921,1
2143,2045,32,1015,1
2144,2045,277,2063,1
2145,2045,384,1789,1
2146,2045,318,1652,1
2147,2045,225,1808,1
2148,2045,159,850,1
2149,2045,20,312,1
2150,2045,567,2052,1
2151,2045,5,133,1
2152,2045,12,356,1
2153,2045,6,186,1
2154,2045,10,331,1
2155,2045,23,530,1
2156,2045,8,430,1
2157,2045,7,355,1
2158,2045,20,610,1
2159,2045,12,188,1
