Geo,Year,TotEmp,RetEmp,SvcEmp
1752.01,2019,206.9017374,74.00484368,66.56369029
1752.02,2019,185.0052704,2.14921843,159.3474939
1753.01,2019,392.2683834,2.877913885,268.6052959
1753.02,2019,855.3050167,6.275025689,585.6690643
1753.03,2019,559.6460409,4.060775771,377.8589569
1754.01,2019,1395.900207,0.943474818,314.9221457
1754.02,2019,146.8385516,31.95607769,74.70425639
1754.03,2019,97.89134971,20.11185333,56.47686058
1755,2019,1316.214286,20.92617995,836.2338973
1756,2019,1961.862297,26.67917526,1170.99827
1757,2019,112.7389031,2.049634689,93.75008431
1758,2019,283.3962622,53.90715951,189.0965795
1759,2019,425.526684,101.4143768,121.0000987
1760,2019,167.9354698,2.176397863,134.1673578
1761,2019,2210.562887,34.39834182,756.2937718
1762,2019,248.6364356,34.36853535,137.7823469
1763,2019,88.03043506,4.030477686,62.42083427
1764,2019,158.4716672,0.063560434,122.3527323
1765,2019,66.93475966,0,33.05721761
1766,2019,92.36808229,6.92E-05,47.78449776
1767,2019,329.1393656,61.79660751,158.8207061
1768,2019,337.7806698,1.158111749,215.7114386
1769,2019,4068.502034,38.45155694,2649.199396
1770.01,2019,424.5969642,4.936613479,302.5901407
1770.02,2019,211.6581016,2.466539434,151.0392677
1771,2019,46.3770724,0.00091387,27.8817589
1772,2019,2560.569047,38.99693113,1823.593193
1773,2019,641.3644321,7.474085101,457.6777994
1774,2019,3265.830383,38.05477779,2330.467026
1775,2019,80.22925765,1.385937109,63.38761575
1776,2019,12.57372295,0.062348953,9.767545988
1777,2019,33.62028806,0.003255253,19.94165276
1778,2019,131.9314786,0.895582124,118.7705901
1779,2019,929.9187593,228.832523,445.4744467
1780,2019,279.6371937,7.303663208,142.3563576
1781,2019,30.33321318,0,22.45850767
1782,2019,67.36940386,0.02375986,49.95741486
1783,2019,63.1116682,0,40.15589481
